height_km,ALKNIT,BZOOH,C6H5OOH,COF2,COFCL,HF,PAN,MVK,MACROOH,ISOPNITB,OCS,MEK,N2O5,HCN,TERPNIT,HNO3,CH3COOOH,SO2,CH4,CH3CL,TERPROD1,HYAC,HPALD,NO2,EOOH,NTERPOOH,CCL4,CF2CLBR,CF3BR,CFC11,CFC113,CFC114,CFC115,CFC12,CH2BR2,CH3BR,CH3CCL3,NO,BRCL,BRONO2,CL2,CLONO2,HCOOH,HBR,HOBR,HOCL,BIGENE,C2H4,CH3COCHO,CH3COCH3,HCFC141B,HCFC142B,HCFC22,DMS,C2H5OH,HCL,BEPOMUC,CHBR3,H2402,BZALD,BENZENE,BIGALD,BIGALD2,BIGALD3,BIGALD4,BIGALK,H2O2,C2H5OOH,C2H6,C3H8,C3H6,CH2O,CH3CN,C2H2,CH3OH,CH3OOH,CRESOL,GLYOXAL,MPAN,NC4CH2OH,ISOPOOH,GLYALD,HYDRALD,ISOP,PBZNIT,XYLENES,TOLUENE,XOOH,TERPROD2,MEKOOH,MACR,HONITR,ISOPNITA,ISOPNOOH,IEPOX,ONITR,H2SO4,N2O,PHENOOH,PHENOL,XYLOL,ROOH,O3,TERPOOH,TOLOOH,XYLENOOH,XYLOLOOH,CO,CH3COOH,CH3CHO,BIGALD1,ALKOOH,BENZOOH,HO2NO2,C3H7OOH,NH3,TERP2OOH,POOH,NOA,NC4CHO,TEPOMUC
0,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,7.030000e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,6.370000e-08,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,1.470000e-08,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,5.000000e-08,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,3.250000e-06,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
2,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,7.030000e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,5.096000e-08,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,1.176000e-08,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,6.100000e-08,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,3.250000e-06,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
5,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,7.030000e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,3.185000e-08,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,7.350000e-09,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,7.900000e-08,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,2.925000e-06,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
8,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,7.030000e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,1.911000e-08,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,4.410000e-09,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,9.600000e-08,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,2.600000e-06,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
12,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,7.030000e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,6.370000e-09,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,1.470000e-09,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,1.200000e-07,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,2.275000e-06,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
16,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,6.678500e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,3.185000e-09,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,7.350000e-10,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,1.700000e-07,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,1.625000e-06,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
20,8.720000e-10,2.680000e-11,4.200000e-10,5.240000e-11,7.920000e-12,1.810000e-11,4.250000e-08,2.610000e-08,1.210000e-09,1.050000e-09,1.960000e-08,1.040000e-08,1.000000e-11,1.900000e-08,8.280000e-10,1.040000e-07,7.190000e-09,6.150000e-08,5.624000e-05,2.070000e-08,1.680000e-09,4.880000e-08,3.560000e-10,6.370000e-09,3.560000e-09,9.370000e-11,2.960000e-09,1.240000e-10,1.260000e-10,8.500000e-09,2.660000e-09,6.190000e-10,3.290000e-10,1.920000e-08,4.320000e-11,2.370000e-10,5.550000e-11,1.470000e-09,9.180000e-19,1.220000e-11,1.010000e-16,4.090000e-11,8.790000e-09,4.480000e-11,1.650000e-12,2.110000e-12,6.590000e-10,2.510000e-08,1.950000e-08,7.370000e-08,9.290000e-10,8.240000e-10,9.070000e-09,1.740000e-10,2.750000e-08,8.170000e-10,5.400000e-12,3.870000e-11,1.520000e-11,4.700000e-10,2.670000e-09,1.330000e-11,6.580000e-11,6.830000e-11,7.340000e-10,1.900000e-08,7.360000e-08,7.990000e-11,2.930000e-08,9.700000e-09,2.420000e-09,2.440000e-07,4.660000e-09,2.130000e-08,2.740000e-07,1.690000e-08,1.060000e-10,1.250000e-08,3.110000e-09,7.300000e-13,4.680000e-09,4.580000e-08,1.490000e-08,1.230000e-08,1.780000e-10,2.820000e-09,4.880000e-09,7.930000e-09,3.810000e-09,6.150000e-11,1.060000e-08,6.790000e-09,1.620000e-09,9.160000e-11,5.840000e-09,2.670000e-09,2.270000e-11,1.270000e-05,9.150000e-12,9.490000e-11,9.920000e-11,4.400000e-10,1.900000e-06,2.460000e-10,9.690000e-11,1.500000e-10,1.310000e-11,9.750000e-07,8.200000e-09,2.510000e-08,6.470000e-11,3.790000e-10,5.780000e-12,7.990000e-10,7.870000e-11,7.590000e-08,5.960000e-10,9.240000e-10,5.460000e-09,3.670000e-11,2.210000e-10
25,8.720000e-11,2.680000e-12,4.200000e-11,5.240000e-12,7.920000e-13,1.810000e-12,4.250000e-09,2.610000e-09,1.210000e-10,1.050000e-10,1.960000e-09,1.040000e-09,1.000000e-12,1.900000e-09,8.280000e-11,1.040000e-08,7.190000e-10,6.150000e-09,3.515000e-05,2.070000e-09,1.680000e-10,4.880000e-09,3.560000e-11,1.274000e-08,3.560000e-10,9.370000e-12,2.960000e-10,1.240000e-11,1.260000e-11,8.500000e-10,2.660000e-10,6.190000e-11,3.290000e-11,1.920000e-09,4.320000e-12,2.370000e-11,5.550000e-12,4.410000e-09,9.180000e-20,1.220000e-12,1.010000e-17,4.090000e-12,8.790000e-10,4.480000e-12,1.650000e-13,2.110000e-13,6.590000e-11,2.510000e-09,1.950000e-09,7.370000e-09,9.290000e-11,8.240000e-11,9.070000e-10,1.740000e-11,2.750000e-09,8.170000e-11,5.400000e-13,3.870000e-12,1.520000e-12,4.700000e-11,2.670000e-10,1.330000e-12,6.580000e-12,6.830000e-12,7.340000e-11,1.900000e-09,7.360000e-09,7.990000e-12,2.930000e-09,9.700000e-10,2.420000e-10,2.440000e-08,4.660000e-10,2.130000e-09,2.740000e-08,1.690000e-09,1.060000e-11,1.250000e-09,3.110000e-10,7.300000e-14,4.680000e-10,4.580000e-09,1.490000e-09,1.230000e-09,1.780000e-11,2.820000e-10,4.880000e-10,7.930000e-10,3.810000e-10,6.150000e-12,1.060000e-09,6.790000e-10,1.620000e-10,9.160000e-12,5.840000e-10,2.670000e-10,2.270000e-12,1.270000e-06,9.150000e-13,9.490000e-12,9.920000e-12,4.400000e-11,4.500000e-06,2.460000e-11,9.690000e-12,1.500000e-11,1.310000e-12,4.875000e-07,8.200000e-10,2.510000e-09,6.470000e-12,3.790000e-11,5.780000e-13,7.990000e-11,7.870000e-12,7.590000e-09,5.960000e-11,9.240000e-11,5.460000e-10,3.670000e-12,2.210000e-11
30,8.720000e-11,2.680000e-12,4.200000e-11,5.240000e-12,7.920000e-13,1.810000e-12,4.250000e-09,2.610000e-09,1.210000e-10,1.050000e-10,1.960000e-09,1.040000e-09,1.000000e-12,1.900000e-09,8.280000e-11,1.040000e-08,7.190000e-10,6.150000e-09,2.109000e-05,2.070000e-09,1.680000e-10,4.880000e-09,3.560000e-11,1.911000e-08,3.560000e-10,9.370000e-12,2.960000e-10,1.240000e-11,1.260000e-11,8.500000e-10,2.660000e-10,6.190000e-11,3.290000e-11,1.920000e-09,4.320000e-12,2.370000e-11,5.550000e-12,7.350000e-09,9.180000e-20,1.220000e-12,1.010000e-17,4.090000e-12,8.790000e-10,4.480000e-12,1.650000e-13,2.110000e-13,6.590000e-11,2.510000e-09,1.950000e-09,7.370000e-09,9.290000e-11,8.240000e-11,9.070000e-10,1.740000e-11,2.750000e-09,8.170000e-11,5.400000e-13,3.870000e-12,1.520000e-12,4.700000e-11,2.670000e-10,1.330000e-12,6.580000e-12,6.830000e-12,7.340000e-11,1.900000e-09,7.360000e-09,7.990000e-12,2.930000e-09,9.700000e-10,2.420000e-10,2.440000e-08,4.660000e-10,2.130000e-09,2.740000e-08,1.690000e-09,1.060000e-11,1.250000e-09,3.110000e-10,7.300000e-14,4.680000e-10,4.580000e-09,1.490000e-09,1.230000e-09,1.780000e-11,2.820000e-10,4.880000e-10,7.930000e-10,3.810000e-10,6.150000e-12,1.060000e-09,6.790000e-10,1.620000e-10,9.160000e-12,5.840000e-10,2.670000e-10,2.270000e-12,1.270000e-06,9.150000e-13,9.490000e-12,9.920000e-12,4.400000e-11,8.900000e-06,2.460000e-11,9.690000e-12,1.500000e-11,1.310000e-12,2.600000e-07,8.200000e-10,2.510000e-09,6.470000e-12,3.790000e-11,5.780000e-13,7.990000e-11,7.870000e-12,7.590000e-09,5.960000e-11,9.240000e-11,5.460000e-10,3.670000e-12,2.210000e-11
40,8.720000e-12,2.680000e-13,4.200000e-12,5.240000e-13,7.920000e-14,1.810000e-13,4.250000e-10,2.610000e-10,1.210000e-11,1.050000e-11,1.960000e-10,1.040000e-10,1.000000e-13,1.900000e-10,8.280000e-12,1.040000e-09,7.190000e-11,6.150000e-10,7.030000e-06,2.070000e-10,1.680000e-11,4.880000e-10,3.560000e-12,9.555000e-09,3.560000e-11,9.370000e-13,2.960000e-11,1.240000e-12,1.260000e-12,8.500000e-11,2.660000e-11,6.190000e-12,3.290000e-12,1.920000e-10,4.320000e-13,2.370000e-12,5.550000e-13,4.410000e-09,9.180000e-21,1.220000e-13,1.010000e-18,4.090000e-13,8.790000e-11,4.480000e-13,1.650000e-14,2.110000e-14,6.590000e-12,2.510000e-10,1.950000e-10,7.370000e-10,9.290000e-12,8.240000e-12,9.070000e-11,1.740000e-12,2.750000e-10,8.170000e-12,5.400000e-14,3.870000e-13,1.520000e-13,4.700000e-12,2.670000e-11,1.330000e-13,6.580000e-13,6.830000e-13,7.340000e-12,1.900000e-10,7.360000e-10,7.990000e-13,2.930000e-10,9.700000e-11,2.420000e-11,2.440000e-09,4.660000e-11,2.130000e-10,2.740000e-09,1.690000e-10,1.060000e-12,1.250000e-10,3.110000e-11,7.300000e-15,4.680000e-11,4.580000e-10,1.490000e-10,1.230000e-10,1.780000e-12,2.820000e-11,4.880000e-11,7.930000e-11,3.810000e-11,6.150000e-13,1.060000e-10,6.790000e-11,1.620000e-11,9.160000e-13,5.840000e-11,2.670000e-11,2.270000e-13,1.270000e-07,9.150000e-14,9.490000e-13,9.920000e-13,4.400000e-12,7.100000e-06,2.460000e-12,9.690000e-13,1.500000e-12,1.310000e-13,9.750000e-08,8.200000e-11,2.510000e-10,6.470000e-13,3.790000e-12,5.780000e-14,7.990000e-12,7.870000e-13,7.590000e-10,5.960000e-12,9.240000e-12,5.460000e-11,3.670000e-13,2.210000e-12
50,8.720000e-12,2.680000e-13,4.200000e-12,5.240000e-13,7.920000e-14,1.810000e-13,4.250000e-10,2.610000e-10,1.210000e-11,1.050000e-11,1.960000e-10,1.040000e-10,1.000000e-13,1.900000e-10,8.280000e-12,1.040000e-09,7.190000e-11,6.150000e-10,3.515000e-06,2.070000e-10,1.680000e-11,4.880000e-10,3.560000e-12,3.185000e-09,3.560000e-11,9.370000e-13,2.960000e-11,1.240000e-12,1.260000e-12,8.500000e-11,2.660000e-11,6.190000e-12,3.290000e-12,1.920000e-10,4.320000e-13,2.370000e-12,5.550000e-13,1.470000e-09,9.180000e-21,1.220000e-13,1.010000e-18,4.090000e-13,8.790000e-11,4.480000e-13,1.650000e-14,2.110000e-14,6.590000e-12,2.510000e-10,1.950000e-10,7.370000e-10,9.290000e-12,8.240000e-12,9.070000e-11,1.740000e-12,2.750000e-10,8.170000e-12,5.400000e-14,3.870000e-13,1.520000e-13,4.700000e-12,2.670000e-11,1.330000e-13,6.580000e-13,6.830000e-13,7.340000e-12,1.900000e-10,7.360000e-10,7.990000e-13,2.930000e-10,9.700000e-11,2.420000e-11,2.440000e-09,4.660000e-11,2.130000e-10,2.740000e-09,1.690000e-10,1.060000e-12,1.250000e-10,3.110000e-11,7.300000e-15,4.680000e-11,4.580000e-10,1.490000e-10,1.230000e-10,1.780000e-12,2.820000e-11,4.880000e-11,7.930000e-11,3.810000e-11,6.150000e-13,1.060000e-10,6.790000e-11,1.620000e-11,9.160000e-13,5.840000e-11,2.670000e-11,2.270000e-13,1.270000e-07,9.150000e-14,9.490000e-13,9.920000e-13,4.400000e-12,2.000000e-06,2.460000e-12,9.690000e-13,1.500000e-12,1.310000e-13,3.250000e-08,8.200000e-11,2.510000e-10,6.470000e-13,3.790000e-12,5.780000e-14,7.990000e-12,7.870000e-13,7.590000e-10,5.960000e-12,9.240000e-12,5.460000e-11,3.670000e-13,2.210000e-12
60,8.720000e-13,2.680000e-14,4.200000e-13,5.240000e-14,7.920000e-15,1.810000e-14,4.250000e-11,2.610000e-11,1.210000e-12,1.050000e-12,1.960000e-11,1.040000e-11,1.000000e-14,1.900000e-11,8.280000e-13,1.040000e-10,7.190000e-12,6.150000e-11,1.406000e-06,2.070000e-11,1.680000e-12,4.880000e-11,3.560000e-13,1.274000e-09,3.560000e-12,9.370000e-14,2.960000e-12,1.240000e-13,1.260000e-13,8.500000e-12,2.660000e-12,6.190000e-13,3.290000e-13,1.920000e-11,4.320000e-14,2.370000e-13,5.550000e-14,7.350000e-10,9.180000e-22,1.220000e-14,1.010000e-19,4.090000e-14,8.790000e-12,4.480000e-14,1.650000e-15,2.110000e-15,6.590000e-13,2.510000e-11,1.950000e-11,7.370000e-11,9.290000e-13,8.240000e-13,9.070000e-12,1.740000e-13,2.750000e-11,8.170000e-13,5.400000e-15,3.870000e-14,1.520000e-14,4.700000e-13,2.670000e-12,1.330000e-14,6.580000e-14,6.830000e-14,7.340000e-13,1.900000e-11,7.360000e-11,7.990000e-14,2.930000e-11,9.700000e-12,2.420000e-12,2.440000e-10,4.660000e-12,2.130000e-11,2.740000e-10,1.690000e-11,1.060000e-13,1.250000e-11,3.110000e-12,7.300000e-16,4.680000e-12,4.580000e-11,1.490000e-11,1.230000e-11,1.780000e-13,2.820000e-12,4.880000e-12,7.930000e-12,3.810000e-12,6.150000e-14,1.060000e-11,6.790000e-12,1.620000e-12,9.160000e-14,5.840000e-12,2.670000e-12,2.270000e-14,1.270000e-08,9.150000e-15,9.490000e-14,9.920000e-14,4.400000e-13,5.800000e-07,2.460000e-13,9.690000e-14,1.500000e-13,1.310000e-14,1.625000e-08,8.200000e-12,2.510000e-11,6.470000e-14,3.790000e-13,5.780000e-15,7.990000e-13,7.870000e-14,7.590000e-11,5.960000e-13,9.240000e-13,5.460000e-12,3.670000e-14,2.210000e-13
80,8.720000e-13,2.680000e-14,4.200000e-13,5.240000e-14,7.920000e-15,1.810000e-14,4.250000e-11,2.610000e-11,1.210000e-12,1.050000e-12,1.960000e-11,1.040000e-11,1.000000e-14,1.900000e-11,8.280000e-13,1.040000e-10,7.190000e-12,6.150000e-11,7.030000e-07,2.070000e-11,1.680000e-12,4.880000e-11,3.560000e-13,3.185000e-10,3.560000e-12,9.370000e-14,2.960000e-12,1.240000e-13,1.260000e-13,8.500000e-12,2.660000e-12,6.190000e-13,3.290000e-13,1.920000e-11,4.320000e-14,2.370000e-13,5.550000e-14,1.470000e-10,9.180000e-22,1.220000e-14,1.010000e-19,4.090000e-14,8.790000e-12,4.480000e-14,1.650000e-15,2.110000e-15,6.590000e-13,2.510000e-11,1.950000e-11,7.370000e-11,9.290000e-13,8.240000e-13,9.070000e-12,1.740000e-13,2.750000e-11,8.170000e-13,5.400000e-15,3.870000e-14,1.520000e-14,4.700000e-13,2.670000e-12,1.330000e-14,6.580000e-14,6.830000e-14,7.340000e-13,1.900000e-11,7.360000e-11,7.990000e-14,2.930000e-11,9.700000e-12,2.420000e-12,2.440000e-10,4.660000e-12,2.130000e-11,2.740000e-10,1.690000e-11,1.060000e-13,1.250000e-11,3.110000e-12,7.300000e-16,4.680000e-12,4.580000e-11,1.490000e-11,1.230000e-11,1.780000e-13,2.820000e-12,4.880000e-12,7.930000e-12,3.810000e-12,6.150000e-14,1.060000e-11,6.790000e-12,1.620000e-12,9.160000e-14,5.840000e-12,2.670000e-12,2.270000e-14,1.270000e-08,9.150000e-15,9.490000e-14,9.920000e-14,4.400000e-13,4.800000e-08,2.460000e-13,9.690000e-14,1.500000e-13,1.310000e-14,6.500000e-09,8.200000e-12,2.510000e-11,6.470000e-14,3.790000e-13,5.780000e-15,7.990000e-13,7.870000e-14,7.590000e-11,5.960000e-13,9.240000e-13,5.460000e-12,3.670000e-14,2.210000e-13
